month,permian,anadarko,marcellus,bakken,eagleford,haynesville,niobara
Jan-07, 248 , 176 , 56 , 45 , 51 , 170 , 107 
Feb-07, 253 , 180 , 56 , 42 , 56 , 179 , 104 
Mar-07, 242 , 166 , 53 , 44 , 58 , 179 , 109 
Apr-07, 243 , 157 , 52 , 47 , 56 , 186 , 113 
May-07, 243 , 170 , 54 , 46 , 55 , 184 , 108 
Jun-07, 244 , 181 , 56 , 46 , 60 , 179 , 108 
Jul-07, 244 , 166 , 52 , 53 , 63 , 188 , 109 
Aug-07, 248 , 173 , 61 , 55 , 60 , 189 , 115 
Sep-07, 247 , 168 , 59 , 50 , 60 , 182 , 119 
Oct-07, 242 , 174 , 58 , 52 , 53 , 181 , 117 
Nov-07, 240 , 182 , 57 , 54 , 56 , 184 , 118 
Dec-07, 253 , 182 , 62 , 58 , 58 , 186 , 111 
Jan-08, 249 , 180 , 56 , 55 , 55 , 175 , 101 
Feb-08, 250 , 187 , 56 , 60 , 49 , 176 , 114 
Mar-08, 257 , 190 , 50 , 63 , 60 , 178 , 117 
Apr-08, 259 , 190 , 51 , 64 , 67 , 179 , 120 
May-08, 261 , 189 , 53 , 70 , 71 , 190 , 120 
Jun-08, 285 , 188 , 54 , 77 , 64 , 199 , 112 
Jul-08, 287 , 194 , 54 , 75 , 64 , 199 , 114 
Aug-08, 285 , 204 , 59 , 76 , 68 , 222 , 118 
Sep-08, 285 , 206 , 62 , 77 , 67 , 240 , 118 
Oct-08, 276 , 197 , 62 , 80 , 73 , 239 , 118 
Nov-08, 253 , 181 , 60 , 90 , 72 , 244 , 127 
Dec-08, 234 , 150 , 59 , 87 , 62 , 230 , 112 
Jan-09, 194 , 128 , 51 , 73 , 46 , 210 , 91 
Feb-09, 162 , 105 , 53 , 65 , 39 , 182 , 69 
Mar-09, 129 , 84 , 53 , 51 , 37 , 156 , 58 
Apr-09, 93 , 72 , 56 , 42 , 37 , 146 , 52 
May-09, 92 , 62 , 55 , 35 , 32 , 136 , 45 
Jun-09, 99 , 57 , 65 , 35 , 30 , 126 , 46 
Jul-09, 113 , 59 , 71 , 40 , 34 , 133 , 46 
Aug-09, 125 , 63 , 76 , 44 , 39 , 148 , 45 
Sep-09, 136 , 64 , 78 , 47 , 46 , 154 , 46 
Oct-09, 149 , 69 , 83 , 51 , 43 , 161 , 39 
Nov-09, 170 , 76 , 90 , 60 , 46 , 175 , 40 
Dec-09, 177 , 93 , 91 , 66 , 62 , 188 , 43 
Jan-10, 193 , 100 , 98 , 74 , 64 , 211 , 45 
Feb-10, 192 , 107 , 97 , 85 , 76 , 230 , 48 
Mar-10, 188 , 113 , 98 , 97 , 89 , 234 , 51 
Apr-10, 209 , 122 , 105 , 101 , 96 , 237 , 51 
May-10, 227 , 131 , 105 , 103 , 98 , 231 , 52 
Jun-10, 240 , 137 , 112 , 116 , 104 , 231 , 51 
Jul-10, 244 , 145 , 115 , 124 , 119 , 234 , 56 
Aug-10, 256 , 151 , 117 , 134 , 131 , 228 , 68 
Sep-10, 269 , 158 , 119 , 132 , 140 , 220 , 67 
Oct-10, 277 , 174 , 129 , 140 , 149 , 217 , 71 
Nov-10, 293 , 174 , 128 , 143 , 145 , 212 , 77 
