Date,Propane,WTI,Brent
Jun-1992,0.344,22.39,21.16
Jul-1992,0.342,21.78,20.24
Aug-1992,0.354,21.34,19.74
Sep-1992,0.375,21.88,20.27
Oct-1992,0.354,21.69,20.26
Nov-1992,0.327,20.34,19.21
Dec-1992,0.312,19.41,18.14
Jan-1993,0.337,19.03,17.39
Feb-1993,0.33,20.09,18.47
Mar-1993,0.342,20.32,18.79
Apr-1993,0.344,20.25,18.67
May-1993,0.328,19.95,18.51
Jun-1993,0.328,19.09,17.65
Jul-1993,0.314,17.89,16.78
Aug-1993,0.305,18.01,16.7
Sep-1993,0.299,17.5,16.01
Oct-1993,0.293,18.15,16.61
Nov-1993,0.275,16.61,15.2
Dec-1993,0.245,14.52,13.73
Jan-1994,0.263,15.03,14.29
Feb-1994,0.29,14.78,13.8
Mar-1994,0.284,14.68,13.82
Apr-1994,0.289,16.42,15.23
May-1994,0.296,17.89,16.19
Jun-1994,0.288,19.06,16.76
Jul-1994,0.292,19.66,17.6
Aug-1994,0.3,18.38,16.89
Sep-1994,0.299,17.45,15.9
Oct-1994,0.324,17.72,16.49
Nov-1994,0.344,18.07,17.19
Dec-1994,0.333,17.16,15.93
Jan-1995,0.327,18.04,16.55
Feb-1995,0.316,18.57,17.11
Mar-1995,0.327,18.54,17.01
Apr-1995,0.323,19.9,18.65
May-1995,0.327,19.74,18.35
Jun-1995,0.318,18.45,17.31
Jul-1995,0.308,17.33,15.85
Aug-1995,0.313,18.02,16.1
Sep-1995,0.313,18.23,16.7
Oct-1995,0.309,17.43,16.11
Nov-1995,0.31,17.99,16.86
Dec-1995,0.354,19.03,17.93
Jan-1996,0.354,18.86,17.85
Feb-1996,0.39,19.09,18
Mar-1996,0.369,21.33,19.85
Apr-1996,0.356,23.5,20.9
May-1996,0.348,21.17,19.15
Jun-1996,0.348,20.42,18.46
Jul-1996,0.356,21.3,19.57
Aug-1996,0.384,21.9,20.51
Sep-1996,0.47,23.97,22.63
Oct-1996,0.513,24.88,24.16
Nov-1996,0.583,23.71,22.76
Dec-1996,0.608,25.23,23.78
Jan-1997,0.474,25.13,23.54
Feb-1997,0.386,22.18,20.85
Mar-1997,0.385,20.97,19.13
Apr-1997,0.349,19.7,17.56
May-1997,0.353,20.82,19.02
Jun-1997,0.344,19.26,17.58
